"","rile_mrg","partyname"
"600",3.597,"United Kingdom Independence Party"
"601",-18.568,"Green Party - Comahoantas Glass"
"602",-25.589,"Socialist Party - Páirtí Sóisialach"
"603",-12.821,"Irish Labour Party - Páirtí an Lucht Oibre"
"604",7.544,"Gaelic Nation - Fine Gael"
"605",-14.706,"Soldiers of Destiny - Fianna Fáil"
"606",-13.376,"Group of the Greens - European Free Alliance"
"607",-2.597,"Party of European Socialists"
"608",0.949,"Group of the Alliance of Liberals and Democrats for Europe"
"609",16.279,"European People's Party"
"610",-16.356,"Miljöpartiet de Gröna"
"611",-8.861,"Vänsterpartiet"
"612",-12.069,"Sverige Socialdemokratiska Arbetareparti"
"613",-1.32,"Folkpartiet Liberalerna"
"614",1.618,"Kristdemokraterna"
"615",17.241,"Moderata Samlingspartiet"
"616",-6.297,"Centerpartiet"
"617",-15.612,"Junilistan"
"618",-30.806,"Socialistisk Folkeparti"
"619",-14.341,"Socialdemokraterne"
"620",-26.115,"Det Radikale Venstre"
"621",3.185,"Venstre - Danmarks Liberale Parti"
"622",-12.329,"Det Konservative Folkeparti"
"623",-32.394,"Dansk Folkeparti"
"624",-11.224,"Folkebevægelsen Mod EU"
"625",-15.982,"JuniBevægelsen"
"626",-19.355,"Vihreä Liitto"
"627",-50.926,"Vasemmistoliitto"
"628",-20.588,"Suomen Sosialidemokraattinen Puolue"
"629",8.065,"Suomen Kristillisdemokraatit"
"630",-8.219,"Kansallinen Kokoomus"
"631",-16.829,"Suomen Keskusta"
"632",-7.287,"Ruotsalainen Kansanpuolue - Svenska Folkpartiet I Finland"
"633",-8.306,"Écologistes Confédérés"
"634",-8.306,"Groen"
"635",-17.824,"Socialistische Partij Anders"
"636",-16.2,"Parti Socialiste"
"637",-24.5,"SPIRIT"
"638",14.008,"Open Vlaamse Liberalen en Democraten"
"639",-6.433,"Mouvement Réformateur"
"640",4.26,"Christen-Demokratisch & Vlaams"
"641",-9.562,"Centre Democrate Humaniste"
"642",25.806,"Front National"
"643",-31.25,"Nieuw-Vlaamse-Alliantie"
"644",1.565,"Vlaams Belang"
"645",-5.701,"GroenLinks"
"646",-42.47,"Socialistische Partij"
"647",5.819,"ChristenUnie - Staatskundig Gereformeerde Partij"
"648",-5.587,"Partij van de Arbeid"
"649",-4.787,"Democraten 66"
"650",0.949,"Volkspartij voor Vrijheid en Democratie"
"651",5.263,"Christen Democratisch Appèl"
"652",-22.222,"Lijst Pim Fortuyn"
"653",-23.148,"Europa Transparent"
"654",-13.376,"Déi Gréng"
"655",2,"Letzebuergesch Sozialistesch Arbechterpartei"
"656",-2.459,"Demokratesch Partei"
"657",34.459,"Chreschtlich Sozial Vollekspartei"
"658",-2.902,"Aktiounskomitee fir Demokratie Rentegerechtegkeet"
"659",-6.599,"Les Verts"
"660",11.111,"Le terre sinon rien"
"661",-36.413,"Parti Communiste Français"
"662",-33.333,"Lutte Ouvrière"
"663",-16.794,"Front de Gauche"
"664",-5.282,"Parti Socialiste"
"665",-25.281,"Parti Radical de Gauche"
"666",-6.08,"Nouvelle Union pour la Démocratie Française"
"667",7.508,"Mouvement pour la France"
"668",28.682,"Union pour un Mouvement Populaire"
"669",1.703,"Front National"
"670",-19.048,"Union Française pour la Cohésion Nationale"
"671",17.61,"Rassemblement pour la France et l'Indépendance de l'Europe"
"672",-3.824,"Chasse, Pêche, Nature, Traditions"
"673",-25.197,"L'Ouest au Cœur"
"674",-33.333,"Nouvelle Solidarité"
"675",-16.892,"Herritarren Zerrenda"
"676",-22.66,"Europe Démocratie Espéranto"
"677",-20.395,"Parti des Socioprofessionnels"
"678",-13.793,"Diversité pour l'Europe"
"679",-3.401,"Federazione de Verdi"
"680",-35.291,"Partito della Rifondazione Comunista"
"681",-5.479,"Partito dei Comunisti Italiani"
"682",57.812,"Partito Radicale - Lista Bonino-Pannella"
"683",25.641,"Lista Pri-Liberal/Sgarbi"
"684",-43.256,"Italia dei Valori - Lista Di Pietro"
"685",9.035,"Unione Democratici Europei"
"686",-16.594,"Democratici di Sinistra - Socialisti Democratici Italiani - La Margherita - Movimento Repubblicani Europei"
"687",49.265,"Patto Segni"
"688",15.385,"Unione dei Democratici Cristiani e dei Democratici di Centro"
"689",17.666,"Forza Italia"
"690",18.182,"Alleanza Nazionale"
"691",-0.241,"Lega Nord"
"692",0.847,"Südtiroler Volkspartei"
"693",-13.376,"Partido Verde Europeo"
"694",-40.255,"Izquierda Unida"
"695",-2,"Partido Socialista Obrero Español - Partit dels Socialistes de Catalunya"
"696",17.637,"Partido Popular"
"697",-8.573,"Convérgencia i Uniò"
"698",-7.667,"Partido Nacionalista Vasco - Euzko Alderdi Jeltzalea"
"699",-22.357,"Eusko Alkartasuna"
"700",-14.749,"Esquerra Republicana de Catalunya"
"701",-27.701,"Batasuna"
"702",-7.38,"Coalición Canaria"
"703",-25.628,"Europa de los Pueblos"
"704",-23.967,"Galeusca"
"705",-7.018,"Coalición Europea"
"706",-15.873,"Kommounistiko Komma Ellados"
"707",16.232,"Synaspismos Rizospastikis Aristeras"
"708",13.333,"Panellinio Socialistico Kinima"
"709",35.523,"Nea Dimokratia"
"710",48.276,"Laikos Orthodoxos Synagermos"
"711",32.548,"Demokratiki Perifereiaki Enosi"
"712",-35.632,"Bloco do Esquerda"
"713",-3.83,"Coligaçao Democratica Unitaria"
"714",20.088,"Partido Socialista Portuguêsa"
"715",-0.922,"Partido Social Democrata - Partido Popular"
"716",7.193,"Kinima Oikologoi Perivallontistoi"
"717",18.868,"Anorthotikó Kómma Ergazómenou Laoú"
"718",19.672,"Kinima Sosialdimokraton"
"719",52.861,"Dimokratikó Kómma"
"720",27.434,"Dimokratikos Sinagermos"
"721",-2.597,"Partit Laburista"
"722",15,"Partit Nazzjonalista"
"723",-13.376,"Bündnis 90 - Die Grünen"
"724",-23.647,"Die Linke"
"725",-7.456,"Sozialdemokratische Partei Deutschlands"
"726",21.203,"Freie Demokratische Partei"
"727",20.312,"Christlich Demokratische Union"
"728",28.431,"Christlich Soziale Union"
"729",11.494,"Die Republikaner"
"730",2.115,"Die Grünen"
"731",-29.63,"Linke"
"732",-3.96,"Sozialdemokratische Partei Österreichs"
"733",12.637,"Freiheitliche Partei Österreichs"
"734",8.157,"Österreichische Volkspartei"
"735",-15.789,"Liste Hans-Peter Martin"
"736",-23.144,"Green Party"
"737",15.217,"Labour Party"
"738",-2.339,"Social Democratic and Labour Party"
"739",3.67,"Liberal Democrats"
"740",21.271,"Conservative Party"
"741",13.825,"Plaid Cymru"
"742",4.734,"Scottish National Party"
"743",25.987,"Democratic Unionist Party"
"744",14.583,"Ulster Unionist Party"
"745",3.704,"United Kingdom Independence Party"
"746",-45.361,"Respect - The Unity Coalition"
"747",-25.026,"Sinn Féin We Ourselves"
"748",-28.612,"Green Party - Comahoantas Glass"
"749",-12.245,"Irish Labour Party - Páirtí an Lucht Oibre"
"750",-5.117,"Gaelic Nation - Fine Gael"
"751",-9.308,"Soldiers of Destiny - Fianna Fáil"
"752",-25.026,"We Ourselves - Sinn Féin"
"753",-30.081,"Komunistická Strana Čech a Moravy"
"754",-5.714,"Česká Strana Sociálně Demokratická"
"755",31.429,"Sdruení Nezávislých a Evropských Demokratu"
"756",3.704,"Ob�_anská Demokratická Strana"
"757",-4.571,"Unie Svobody–Demokratická Unie + Liberální Reformní Strana + Ob�_anská Demokratická Aliance + Cesta Změny"
"758",5.435,"Křesťanská a Demokratická Unie - Československá Strana Lidová"
"759",13.043,"Nezávislí - Politcké Hnuti"
"760",-14.961,"Sotsiaaldemokraatlik Erakond"
"761",-2.062,"Eesti Keskerakond"
"762",15.842,"Eesti Reformierakond"
"763",4.9,"Ühendus Vabariigi Eest - Res Publica"
"764",2.963,"Eestimaa Rahvaliit"
"765",10.127,"Erakond Isamaaliit"
"766",2.439,"Magyar Szocialista Párt"
"767",11.789,"Fiatal Demokraták Szövetsége"
"768",0.949,"Szabad Demokraták Szövetsége"
"769",17.647,"Magyar Demokrata Forum"
"770",-2.439,"Zaļo un Zemnieku Savienība"
"771",2.174,"Latvijas Ceļš"
"772",-7.018,"Jaunais Laiks"
"773",19.048,"Latvijas Pirm�_ Partija"
"774",1.471,"Tautas Partija"
"775",11.538,"Apvienība 'Tēvzemei un Brīvībai'"
"776",-3.333,"Latvijas Krievu Savienība"
"777",-12.147,"Lietuvos Socialdemokratų Partija"
"778",-2.924,"Darbo Partija"
"779",7.817,"Naujoji Sajunga"
"780",-5.063,"Liberalų ir Centro Sąjunga"
"781",8.533,"Lietuvos Krikš�_ionys Demokratai"
"782",8.571,"Partija Tvarka ir Teisingumas"
"783",-25,"Krikš�_ionių Konservatorių Socialinė Sąjunga"
"784",-7.081,"Lietuvos Valstie�_ių ir Žaliųjų Sąjunga"
"785",14.456,"Tévynès Sajunga"
"786",0,"Lietuvos Lenkų Rinkimų Akcijos ir Lietuvos Rusu Sajungos Laolicijos Rinkimu Programa"
"787",-17.544,"Koalicja Sojuszu Lewicy Demokratycznej i Unii Pracy"
"788",25,"Socjaldemokratcja Polska"
"789",19.048,"Unia Wolności"
"790",11.392,"Platforma Obywatelska"
"791",20.93,"Prawo i Sprawiedliwość"
"792",18.75,"Samoobrona Rzeczypospolitej Polskiej"
"793",28.571,"Liga Polskich Rodzin"
"794",33.871,"Polskie Stronnictwo Ludowe"
"795",-22.857,"Strana Demokratickej L'avice"
"796",-28.947,"Komunistická Strana Slovenska"
"797",3.106,"Smer - Sociálna Demokracia"
"798",4.762,"Alianca Nového Ob�_ana"
"799",12.179,"Kresťansko-demokratické Hnutie"
"800",22.222,"Slovenská Demokratická a Kresťanská Únia - Demokratická Strana"
"801",40.217,"Free Forum"
"802",42,"L'udova strana Hnutie za Demokratické Slovensko"
"803",-2.756,"Strana Ma�_arskej Komunity - Magyar Közösség Pártja"
"804",10.833,"Slovenska Demokratska Stranka"
"805",0.562,"Socialni Demokrati"
"806",2.427,"Liberalna Demokracija Slovenije"
"807",6.977,"Nova Slovenija - Krš�_anska Ljudska Stranka"
"808",7.166,"Slovenska Ljudska Stranka"
"809",-15.164,"Group of the Greens - European Free Alliance"
"810",-34.615,"Confederal Group of the European United Left - Nordic Green Left"
"811",-6.631,"Party of European Socialists"
"812",20,"Group of the Alliance of Liberals and Democrats for Europe"
"813",5.735,"European People's Party"
"814",20.408,"Union for Europe of the Nations Group"
"815",-16.667,"Non-attached Members"
"816",-1.562,"Miljöpartiet de Gröna"
"817",-12.458,"Vänsterpartiet"
"818",-13.194,"Sverige Socialdemokratiska Arbetareparti"
"819",12.074,"Folkpartiet Liberalerna"
"820",0.909,"Kristdemokraterna"
"821",13.397,"Moderata Samlingspartiet"
"822",10.784,"Centerpartiet"
"823",-3.96,"Junilistan"
"824",20.245,"Piratpartiet"
"825",-31.068,"Socialistisk Folkeparti"
"826",-14.806,"Socialdemokraterne"
"827",-16.967,"Det Radikale Venstre"
"828",-16.485,"Venstre - Danmarks Liberale Parti"
"829",0.691,"Det Konservative Folkeparti"
"830",-3.784,"Dansk Folkeparti"
"831",-29.444,"Folkebevægelsen Mod EU"
"832",-22.059,"JuniBevægelsen"
"833",-19.828,"Vihreä Liitto"
"834",-25.641,"Vasemmistoliitto"
"835",-26.866,"Suomen Sosialidemokraattinen Puolue"
"836",-8.252,"Suomen Kristillisdemokraatit"
"837",13.514,"Kansallinen Kokoomus"
"838",-17.442,"Perussuomalaiset"
"839",-7.386,"Suomen Keskusta"
"840",-6.154,"Ruotsalainen Kansanpuolue - Svenska Folkpartiet I Finland"
"841",-11.744,"Écologistes Confédérés"
"842",-10.857,"Groen"
"843",-27.163,"Socialistische Partij Anders"
"844",-31.702,"Parti Socialiste"
"845",5.556,"Open Vlaamse Liberalen en Democraten"
"846",-29.799,"Mouvement Réformateur"
"847",3.965,"Lijst Dedecker"
"848",-10.204,"Christen-Demokratisch & Vlaams"
"849",-20.017,"Centre Democrate Humaniste"
"850",8.969,"Front National"
"851",-15.359,"Nieuw-Vlaamse-Alliantie"
"852",-3.466,"Vlaams Belang"
"853",0.07,"GroenLinks"
"854",-24.865,"Socialistische Partij"
"855",1.034,"ChristenUnie - Staatskundig Gereformeerde Partij"
"856",-7.241,"Partij van de Arbeid"
"857",-12.216,"Democraten 66"
"858",7.843,"Volkspartij voor Vrijheid en Democratie"
"859",-1.533,"Christen Democratisch Appèl"
"860",-9.756,"Partij voor de Vrijheid"
"861",-29.56,"Déi Gréng"
"862",-24.02,"Letzebuergesch Sozialistesch Arbechterpartei"
"863",-8.683,"Demokratesch Partei"
"864",-10.938,"Chreschtlich Sozial Vollekspartei"
"865",-8.384,"Europe Écologie"
"866",-3.529,"Lutte Ouvrière"
"867",-10.435,"Front de Gauche"
"868",-16.279,"Parti Socialiste"
"869",-14.618,"Union pour un Mouvement Populaire"
"870",2.116,"Front National"
"871",-20.769,"Mouvement Démocrate - Union des Démocrates et Indépendants"
"872",-12.987,"Libertas France"
"873",-39.583,"Alliance des Outre-Mers"
"874",-30.645,"Lista Comunista e Anticapitalista"
"875",51.22,"Partito Radicale - Lista Bonino-Pannella"
"876",-3.419,"Partito Democratico"
"877",-5.882,"Sinistra, Ecologia e Libertà"
"878",15.686,"Italia dei Valori - Lista Di Pietro"
"879",12,"Unione dei Democratici Cristiani e dei Democratici di Centro"
"880",-10.526,"Forza Italia"
"881",-2.981,"Lega Nord"
"882",6.962,"Südtiroler Volkspartei"
"883",33.333,"L'Autonomia"
"884",-19.711,"Partido Verde Europeo"
"885",-30.933,"Izquierda Unida"
"886",-11.634,"Partido Socialista Obrero Español - Partit dels Socialistes de Catalunya"
"887",2.388,"Unión Progreso y Democracia"
"888",15.789,"Centro Democrático y Social - Coalición Foro"
"889",7.209,"Partido Popular"
"890",-13.378,"Convérgencia i Uniò"
"891",-15.193,"Partido Nacionalista Vasco - Euzko Alderdi Jeltzalea"
"892",-12.062,"Esquerra Republicana de Catalunya"
"893",-16.863,"Bloque Nacionalista Galego"
"894",-19.149,"Kommounistiko Komma Ellados"
"895",-32.579,"Synaspismos Rizospastikis Aristeras"
"896",-7.368,"Panellinio Socialistico Kinima"
"897",21.93,"Nea Dimokratia"
"898",2.745,"Oikologoi Prasinoi - Komma Peiraton Elladas"
"899",13.514,"Laikos Orthodoxos Synagermos"
"900",-28.866,"Bloco do Esquerda"
"901",-29.412,"Coligaçao Democratica Unitaria"
"902",-18.051,"Partido Socialista Portuguêsa"
"903",1.887,"Partido Social Democrata"
"904",20.101,"Partido Popular"
"905",-25.668,"Anorthotikó Kómma Ergazómenou Laoú"
"906",38.542,"Kinima Sosialdimokraton"
"907",19.748,"Dimokratikó Kómma"
"908",11.524,"Dimokratikos Sinagermos"
"909",-8.235,"Partit Laburista"
"910",21.978,"Partit Nazzjonalista"
"911",-15.043,"Bündnis 90 - Die Grünen"
"912",-23.441,"Die Linke"
"913",-9.333,"Sozialdemokratische Partei Deutschlands"
"914",-0.823,"Freie Demokratische Partei"
"915",9.412,"Christlich Demokratische Union"
"916",2.844,"Christlich Soziale Union"
"917",10.989,"Die Republikaner"
"918",-5.758,"Die Grünen"
"919",-9.714,"Sozialdemokratische Partei Österreichs"
"920",-1.053,"Freiheitliche Partei Österreichs"
"921",-4.538,"Liberales Forum"
"922",-1.613,"Österreichische Volkspartei"
"923",-10,"Liste Hans-Peter Martin"
"924",-12.085,"Green Party"
"925",-6.904,"Labour Party"
"926",-6.445,"Social Democratic and Labour Party"
"927",3.306,"Liberal Democrats"
"928",-0.251,"Conservative Party"
"929",2.174,"British National Party"
"930",-14.286,"Plaid Cymru"
"931",-11.698,"Scottish National Party"
"932",3.922,"Democratic Unionist Party"
"933",7.692,"United Kingdom Independence Party"
"934",-13.389,"Sinn Féin We Ourselves"
"935",-12.295,"Green Party - Comahoantas Glass"
"936",-38.849,"Socialist Party - Páirtí Sóisialach"
"937",-12.411,"Irish Labour Party - Páirtí an Lucht Oibre"
"938",-0.171,"Gaelic Nation - Fine Gael"
"939",-15.142,"Soldiers of Destiny - Fianna Fáil"
"940",-10.23,"We Ourselves - Sinn Féin"
"941",-2.12,"Balgarska Socialisticheska Partija"
"942",9.505,"Sinjata Koalicija"
"943",2.655,"Dvizhenie za Prava i Swobodi"
"944",2.572,"Grazhdani za Evropejsko Razvitie na Bulgaria"
"945",-21.053,"Ataka"
"946",30.303,"Nazionalno Dwizhenie za Stabilnost i Prosperitet"
"947",-16.477,"Komunistická Strana Čech a Moravy"
"948",-21.528,"Česká Strana Sociálně Demokratická"
"949",30.802,"Sdruení Nezávislých a Evropských Demokratu"
"950",15.044,"Ob�_anská Demokratická Strana"
"951",-3.057,"Křesťanská a Demokratická Unie - Československá Strana Lidová"
"952",21.101,"Nezávislí - Politcké Hnuti"
"953",-5.581,"Sotsiaaldemokraatlik Erakond"
"954",-19.886,"Eesti Keskerakond"
"955",13.362,"Eesti Reformierakond"
"956",9.023,"Isamaa ja Res Publica Liit"
"957",-7.393,"Magyar Szocialista Párt"
"958",-24.194,"Szabad Demokraták Szövetsége"
"959",35.127,"Magyar Demokrata Forum"
"960",-5.683,"Fidesz Magyar Polgári Szövetség - Kereszténydemokrata Néppárt"
"961",-5.679,"Jobbik Magyarországért Mozgalom"
"962",-13.043,"Saskaņa Soci�_ldemokr�_tisk�_ partija (Saskaņas Centrs)"
"963",34.694,"Latvijas Pirm�_ Partija - Latvijas Ceļš"
"964",-15.385,"Jaunais Laiks"
"965",27.083,"Tautas Partija"
"966",20,"Pilsoniska Savieniba"
"967",4.762,"Apvienība 'Tēvzemei un Brīvībai'"
"968",9.756,"Latvijas Krievu Savienība"
"969",-4.198,"Lietuvos Socialdemokratų Partija"
"970",-18.478,"Darbo Partija"
"971",-3.385,"Lietuvos Respublikos Liberalų Sąjūdis"
"972",5.828,"Liberalų ir Centro Sąjunga"
"973",-8.247,"Partija Tvarka ir Teisingumas"
"974",0,"Lietuvos Valstie�_ių ir Žaliųjų Sąjunga"
"975",8.642,"Tévynès Sajunga - Lietuvos Krikš�_ionys Demokratai"
"976",7.759,"Lietuvos Lenkų Rinkimų Akcijos"
"977",-8.515,"Koalicja Sojuszu Lewicy Demokratycznej i Unii Pracy"
"978",0.395,"Platforma Obywatelska"
"979",-5.923,"Prawo i Sprawiedliwość"
"980",7.821,"Porozumienie dla Przyszlosci - Centro Lewica"
"981",-10.417,"Samoobrona Rzeczypospolitej Polskiej"
"982",3.871,"Polskie Stronnictwo Ludowe"
"983",3.381,"Partidul Democrat Liberal"
"984",-1.341,"Partidul Național Liberal"
"985",5.047,"Partidul Social Democrat + Uniunea Națională pentru Progresul României + Partidul Conservator"
"986",-13.433,"Partidul România Mare"
"987",-1.887,"Uniunea Democrată Maghiară din România"
"988",-7.143,"Smer - Sociálna Demokracia"
"989",17.964,"Kresťansko-demokratické Hnutie"
"990",8.914,"Slovenská Demokratická a Kresťanská Únia - Demokratická Strana"
"991",-8.333,"Slovenská Národná Strana"
"992",-1.144,"L'udova strana Hnutie za Demokratické Slovensko"
"993",-6.364,"Strana Ma�_arskej Komunity - Magyar Közösség Pártja"
"994",12.903,"Slovenska Demokratska Stranka"
"995",3.532,"Socialni Demokrati"
"996",18.841,"Liberalna Demokracija Slovenije"
"997",2.102,"Zares"
"998",-14.545,"Nova Slovenija - Krš�_anska Ljudska Stranka"
"999",11.765,"Slovenska Ljudska Stranka"
"1000",-7.062,"Group of the Greens - European Free Alliance"
"1001",-10.599,"Party of European Socialists"
"1002",10.334,"Group of the Alliance of Liberals and Democrats for Europe"
"1003",14.66,"European People's Party"
"1004",-3.511,"European Conservatives and Reformist Group"
"1005",0,"Europe of Freedom and Democracy"
"1006",-5.449,"Miljöpartiet de Gröna"
"1007",-28.409,"Vänsterpartiet"
"1008",-22.581,"Sverige Socialdemokratiska Arbetareparti"
"1009",-5.78,"Folkpartiet Liberalerna"
"1010",14.286,"Kristdemokraterna"
"1011",0,"Moderata Samlingspartiet"
"1012",-13.043,"Sverigedemokraterna"
"1013",0.403,"Centerpartiet"
"1014",1.818,"Feministiskt Initiativ"
"1015",-35.897,"Junilistan"
"1016",9.412,"Piratpartiet"
"1017",-8.676,"Socialistisk Folkeparti"
"1018",-24.742,"Socialdemokraterne"
"1019",-8.451,"Det Radikale Venstre"
"1020",17.412,"Venstre - Danmarks Liberale Parti"
"1021",2.119,"Det Konservative Folkeparti"
"1022",-11.864,"Dansk Folkeparti"
"1023",-19.403,"Folkebevægelsen Mod EU"
"1024",-8.651,"Vihreä Liitto"
"1025",-0.806,"Vasemmistoliitto"
"1026",-16.667,"Suomen Sosialidemokraattinen Puolue"
"1027",-3.937,"Suomen Kristillisdemokraatit"
"1028",0.741,"Kansallinen Kokoomus"
"1029",1.099,"Perussuomalaiset"
"1030",-6.831,"Suomen Keskusta"
"1031",-0.637,"Ruotsalainen Kansanpuolue - Svenska Folkpartiet I Finland"
"1032",-16.571,"Écologistes Confédérés"
"1033",-3.342,"Groen"
"1034",-18.911,"Socialistische Partij Anders"
"1035",-23.51,"Parti Socialiste"
"1036",2.381,"Open Vlaamse Liberalen en Democraten"
"1037",-2.303,"Mouvement Réformateur"
"1038",-16.261,"Christlich Soziale Partei"
"1039",4.829,"Christen-Demokratisch & Vlaams"
"1040",-12.657,"Centre Democrate Humaniste"
"1041",-17.248,"Nieuw-Vlaamse-Alliantie"
"1042",0.508,"Vlaams Belang"
"1043",-5.645,"GroenLinks"
"1044",-5.974,"Partij voor de Dieren"
"1045",-6.209,"Socialistische Partij"
"1046",5.353,"ChristenUnie - Staatskundig Gereformeerde Partij"
"1047",2.954,"Partij van de Arbeid"
"1048",3.158,"Democraten 66"
"1049",18.888,"Volkspartij voor Vrijheid en Democratie"
"1050",2.42,"Christen-Democratisch Appèl"
"1051",18.868,"Partij voor de Vrijheid"
"1052",-21.133,"Déi Gréng"
"1053",-29.31,"Letzebuergesch Sozialistesch Arbechterpartei"
"1054",-5.774,"Democratesch Partei"
"1055",-1.408,"Chreschtlich Sozial Vollekspartei"
"1056",-18.303,"Europe Écologie - Les Verts"
"1057",-28.571,"Lutte Ouvrière"
"1058",-15.439,"Front de Gauche"
"1059",-9.589,"Parti Socialiste - Parti Radical de Gauche"
"1060",11.712,"Union pour un Mouvement Populaire"
"1061",-5.882,"Front National"
"1062",-1.364,"Mouvement Démocrate - Union des Démocrates et Indépendants"
"1063",22.222,"Movimento 5 Stelle"
"1064",-32.527,"L'Altra Europa con Tsipras"
"1065",-16.456,"Partito Democratico"
"1066",18.605,"Forza Italia"
"1067",-11.028,"Lega Nord"
"1068",-6.164,"Südtiroler Volkspartei"
"1069",-23.669,"Coalición Izquierda Plural"
"1070",-20.81,"Coalición Primavera Europea"
"1071",-21.077,"Podemos"
"1072",-12.428,"Partido Socialista Obrero Español - Partit dels Socialistes de Catalunya"
"1073",-7.036,"Ciudadanos - Partido de la Ciudadanía"
"1074",-5.918,"Unión Progreso y Democracia"
"1075",3.976,"Partido Popular"
"1076",-24.8,"Coalición Los Pueblos Deciden"
"1077",-2.339,"Kommounistiko Komma Ellados"
"1078",-12.05,"Synaspismos Rizospastikis Aristeras"
"1079",23.81,"Anexartitoi Ellines"
"1080",-2.736,"Elia Dimokratiki Parataxi"
"1081",2.333,"To Potami"
"1082",26.901,"Nea Dimokratia"
"1083",-2.144,"Oikologoi Prasinoi - Komma Peiraton Elladas"
"1084",56.195,"Laikos Syndesmos - Chrysi Avgi"
"1085",35.556,"Laikos Orthodoxos Synagermos"
"1086",-16.26,"Partido da Terra"
"1087",-8.967,"Bloco do Esquerda"
"1088",-23.684,"Coligaçao Democratica Unitaria"
"1089",-8.049,"Partido Socialista Portuguêsa"
"1090",1.966,"Partido Social Democrata - Partido Popular"
"1091",-23.944,"Anorthotikó Kómma Ergazómenou Laoú"
"1092",8.163,"Kinima Sosialdimokraton"
"1093",-1.887,"Dimokratikó Kómma"
"1094",17.928,"Dimokratikos Synagermos"
"1095",1.087,"Partit Laburista"
"1096",6,"Partit Nazzjonalista"
"1097",-7.299,"Ökologisch-Demokratische Partei"
"1098",-9,"Bündnis 90 - Die Grünen"
"1099",-21.158,"Die Linke"
"1100",-12.422,"Sozialdemokratische Partei Deutschlands"
"1101",6.739,"Freie Demokratische Partei"
"1102",-0.54,"Christlich Demokratische Union"
"1103",1.272,"Christlich Soziale Union"
"1104",2.151,"Nationaldemokratische Partei Deutschlands"
"1105",-6.468,"Freie Wähler"
"1106",-0.315,"Alternative für Deutschland"
"1107",-3.266,"Piratenpartei Deutschland"
"1108",-9.064,"Familienpartei Deutschlands"
"1109",9.615,"Die Partei"
"1110",-10.95,"Partei Mensch Umwelt Tierschutz"
"1111",-6.89,"Die Grünen"
"1112",-14.427,"Sozialdemokratische Partei Österreichs"
"1113",12.222,"Freiheitliche Partei Österreichs"
"1114",-5.889,"NEOS Das Neue Österreich und Liberales Forum"
"1115",-6.885,"Österreichische Volkspartei"
"1116",-2.299,"Green Party"
"1117",-1.146,"Labour Party"
"1118",-17.202,"Social Democratic and Labour Party"
"1119",-1.809,"Liberal Democrats"
"1120",-4.918,"Conservative Party"
"1121",9.524,"British National Party"
"1122",-8.463,"Plaid Cymru"
"1123",-2.083,"Scottish National Party"
"1124",5.924,"Democratic Unionist Party"
"1125",-12.371,"Ulster Unionist Party"
"1126",-7.292,"United Kingdom Independence Party"
"1127",-0.928,"Sinn Féin We Ourselves"
"1128",-0.8,"Green Party - Comahoantas Glass"
"1129",6.25,"Socialist Party - Páirtí Sóisialach"
"1130",9.615,"Irish Labour Party - Páirtí an Lucht Oibre"
"1131",10.575,"Gaelic Nation - Fine Gael"
"1132",-11.333,"Soldiers of Destiny - Fianna Fáil"
"1133",-3.092,"We Ourselves - Sinn Féin"
"1134",2.098,"Balgarska Socialisticheska Partija"
"1135",-17.094,"Dvizhenie za Prava i Swobodi"
"1136",6.383,"Reformatorski Blok"
"1137",-2.884,"Grazhdani za Evropejsko Razvitie na Bulgaria"
"1138",3.571,"Balgarija bes Zensura + Bulgarsko Natsionalno Dvizhenie + Zemedelski Naroden Sajuz + Dvizhenie Gergyovden"
"1139",-3.154,"Ataka"
"1140",-30,"Nazionalno Dwizhenie za Stabilnost i Prosperitet"
"1141",-18.902,"Održivi razvoj Hrvatske"
"1142",9.836,"Socijaldemokratska Partija Hrvatske + Hrvatska Narodna Stranka – Liberalni Demokrati + Istarski Demokratski Sabor"
"1143",6.13,"Hrvatska Demokratska Zajednica + Hrvatska Selja�_ka Stranka + Hrvatska stranka prava Ante Star�_ević"
"1144",-25.574,"Komunistická Strana Čech a Moravy"
"1145",-29.412,"Česká Strana Sociálně Demokratická"
"1146",4.902,"Ob�_anská Demokratická Strana"
"1147",7.045,"ANO 2011"
"1148",8.577,"Strana Svobodných Ob�_anů"
"1149",-0.549,"Křesťanská a Demokratická Unie - Československá Strana Lidová"
"1150",4.925,"TOP 09 - Starostové a Nezávislí"
"1151",-8.475,"Sotsiaaldemokraatlik Erakond"
"1152",-14.826,"Eesti Keskerakond"
"1153",7.862,"Eesti Reformierakond"
"1154",-1,"Isamaa ja Res Publica Liit"
"1155",-17.178,"Együtt - a Korszakváltók Pártja + Párbeszéd Magyarországért"
"1156",-21.725,"Lehet Más a Politika"
"1157",-18.681,"Magyar Szocialista Párt"
"1158",-2.395,"Demokratikus Koalíció"
"1159",25.142,"Fidesz Magyar Polgári Szövetség - Kereszténydemokrata Néppárt"
"1160",-14.316,"Jobbik Magyarországért Mozgalom"
"1161",-8.475,"Zaļo un Zemnieku Savienība"
"1162",-19.231,"Saskaņa Soci�_ldemokr�_tisk�_ partija (Saskaņas Centrs)"
"1163",1.754,"Partija Vienotība"
"1164",-7.692,"Nacion�_l�_ Apvienība Visu Latvijai! - Tēvzemei un Brīvībai/LNNK"
"1165",-12.698,"Latvijas Krievu Savienība"
