,Vote ID,File,Order of vote,Date,Title,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,Interinstitutional file number,Link,Committee responsabile,Policy area,Subject,Final vote?,Am No.,Author,RCV,Vote,Yes,No,Abs,ECR,EPP,Greens/EFA,IDG,NI,REG,S&D,The Left,ECR%,EPP%,Greens/EFA%,IDG%,NI%,REG%,S&D%,The Left%,General Majority,Right Majority,Left Majority,Consensus
3052,3053,49,132,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Paragraph 3, after (a)",0.0,174/rev,ECR,RCV,-,275,408,11,52,164,0,28,15,9,6,1,0.839,0.901,0.0,0.384,0.263,0.083,0.039,0.024,0,1,0,0
3053,3054,49,133,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Remainder,0.0,81cp3,committee,RCV,+,592,97,5,45,173,69,5,28,97,142,33,0.726,0.951,0.932,0.068,0.491,0.898,0.922,0.805,1,0,0,0
3054,3055,49,134,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Remainder,0.0,81cp3,committee,RCV,+,536,154,4,4,164,69,1,28,95,142,33,0.065,0.901,0.932,0.014,0.491,0.88,0.922,0.805,1,0,0,0
3055,3056,49,135,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After Art. 6,0.0,138,ECR,RCV,-,94,549,51,12,5,1,62,7,5,2,0,0.194,0.027,0.014,0.849,0.123,0.046,0.013,0.0,0,0,0,0
3056,3057,49,136,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After Art. 7,0.0,132,EUL/NGL,RCV,-,131,558,5,0,2,69,0,16,2,5,37,0.0,0.011,0.932,0.0,0.281,0.019,0.032,0.902,0,0,0,0
3057,3058,49,137,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After Art. 8,0.0,128,EUL/NGL,RCV,-,133,552,6,0,1,69,0,16,3,8,36,0.0,0.005,0.932,0.0,0.281,0.028,0.052,0.878,0,0,0,0
3058,3059,49,138,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After Art. 8,0.0,128,EUL/NGL,RCV,-,135,552,4,0,1,69,0,16,3,9,37,0.0,0.005,0.932,0.0,0.281,0.028,0.058,0.902,0,0,0,0
3059,3060,49,139,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After Art. 8,0.0,128,EUL/NGL,RCV,-,134,555,2,0,1,69,0,16,3,9,36,0.0,0.005,0.932,0.0,0.281,0.028,0.058,0.878,0,0,0,0
3060,3061,49,140,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After Art. 8,0.0,128,EUL/NGL,RCV,-,132,554,5,0,1,69,0,16,3,8,35,0.0,0.005,0.932,0.0,0.281,0.028,0.052,0.854,0,0,0,0
3061,3062,49,141,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After Art. 8,0.0,128,EUL/NGL,RCV,-,125,554,12,0,1,65,0,16,2,7,34,0.0,0.005,0.878,0.0,0.281,0.019,0.045,0.829,0,0,0,0
3062,3063,49,142,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After Art. 8,0.0,128,EUL/NGL,RCV,-,133,551,7,0,2,69,0,16,3,8,35,0.0,0.011,0.932,0.0,0.281,0.028,0.052,0.854,0,0,0,0
3063,3064,49,143,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After Art. 8,0.0,143,Greens/ EFA,RCV,-,151,535,8,0,4,69,0,16,8,18,36,0.0,0.022,0.932,0.0,0.281,0.074,0.117,0.878,0,0,0,0
3064,3065,49,144,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After Art. 8,0.0,143,Greens/ EFA,RCV,+,341,339,13,0,5,69,1,17,80,134,35,0.0,0.027,0.932,0.014,0.298,0.741,0.87,0.854,0,0,1,0
3065,3066,49,145,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Art. 9,0.0,84D= 175/rev/ D=,"committee, ECR",RCV,+,683,7,4,62,175,68,64,36,102,141,35,1.0,0.962,0.919,0.877,0.632,0.944,0.916,0.854,1,0,0,0
3066,3067,49,146,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 1,0.0,4,committee,RCV,+,624,63,7,48,173,69,24,31,102,143,34,0.774,0.951,0.932,0.329,0.544,0.944,0.929,0.829,1,0,0,0
3067,3068,49,147,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 1,0.0,4,committee,RCV,+,551,136,7,2,172,69,2,29,97,142,38,0.032,0.945,0.932,0.027,0.509,0.898,0.922,0.927,1,0,0,0
3068,3069,49,148,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 3,0.0,153,EPP,RCV,+,494,160,40,50,172,2,20,17,90,141,2,0.806,0.945,0.027,0.274,0.298,0.833,0.916,0.049,1,0,0,0
3069,3070,49,149,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 3,0.0,153,EPP,RCV,+,358,329,7,6,170,1,20,15,7,139,0,0.097,0.934,0.014,0.274,0.263,0.065,0.903,0.0,1,0,0,0
3070,3071,49,150,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 4,0.0,164/rev,ECR,RCV,-,121,550,23,51,11,0,47,6,5,1,0,0.823,0.06,0.0,0.644,0.105,0.046,0.006,0.0,0,0,0,0
3071,3072,49,151,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 5,0.0,102,EUL/NGL,RCV,-,150,536,8,4,3,69,19,20,2,2,31,0.065,0.016,0.932,0.26,0.351,0.019,0.013,0.756,0,0,0,0
3072,3073,49,152,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 6,0.0,110,EUL/NGL,RCV,-,125,559,10,0,2,65,0,16,2,4,36,0.0,0.011,0.878,0.0,0.281,0.019,0.026,0.878,0,0,0,0
3073,3074,49,153,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 6,0.0,14,committee,RCV,+,587,102,5,47,165,69,1,28,97,142,38,0.758,0.907,0.932,0.014,0.491,0.898,0.922,0.927,1,0,0,0
3074,3075,49,154,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 6,0.0,14,committee,RCV,+,601,90,3,3,176,69,46,32,97,142,36,0.048,0.967,0.932,0.63,0.561,0.898,0.922,0.878,1,0,0,0
3075,3076,49,155,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 9,0.0,137,ECR,RCV,-,110,533,51,16,20,0,58,8,5,2,1,0.258,0.11,0.0,0.795,0.14,0.046,0.013,0.024,0,0,0,0
3076,3077,49,156,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 9,0.0,18,committee,RCV,+,626,50,18,51,172,69,21,31,102,143,37,0.823,0.945,0.932,0.288,0.544,0.944,0.929,0.902,1,0,0,0
3077,3078,49,157,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 9,0.0,154,EPP,RCV,+,532,149,13,55,176,0,45,17,98,140,1,0.887,0.967,0.0,0.616,0.298,0.907,0.909,0.024,1,0,0,0
3078,3079,49,158,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 9,0.0,155,EPP,RCV,-,297,319,78,10,174,1,27,14,34,6,31,0.161,0.956,0.014,0.37,0.246,0.315,0.039,0.756,0,1,0,0
3079,3080,49,159,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 9,0.0,155,EPP,RCV,-,329,339,26,55,159,0,48,18,39,6,4,0.887,0.874,0.0,0.658,0.316,0.361,0.039,0.098,0,1,0,0
3080,3081,49,160,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 9,0.0,24,committee,RCV,+,651,37,5,55,177,67,47,32,97,141,35,0.887,0.973,0.905,0.644,0.561,0.898,0.916,0.854,1,0,0,0
3081,3082,49,161,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 9,0.0,24,committee,RCV,+,557,127,10,59,169,2,63,23,97,141,3,0.952,0.929,0.027,0.863,0.404,0.898,0.916,0.073,1,0,0,0
3082,3083,49,162,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 9,0.0,165/rev,ECR,RCV,-,275,384,34,63,120,0,58,20,11,2,1,1.016,0.659,0.0,0.795,0.351,0.102,0.013,0.024,0,0,0,0
3083,3084,49,163,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 10,0.0,129,EUL/NGL,RCV,-,130,485,78,0,1,69,0,15,3,6,36,0.0,0.005,0.932,0.0,0.263,0.028,0.039,0.878,0,0,0,0
3084,3085,49,164,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 11,0.0,166/rev,ECR,RCV,-,122,566,6,55,30,0,29,2,5,1,0,0.887,0.165,0.0,0.397,0.035,0.046,0.006,0.0,0,0,0,0
3085,3086,49,165,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 12,0.0,167/rev,ECR,RCV,-,104,547,43,47,15,0,27,4,10,1,0,0.758,0.082,0.0,0.37,0.07,0.093,0.006,0.0,0,0,0,0
3086,3087,49,166,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 12,0.0,103,EUL/NGL,RCV,-,137,520,37,1,4,34,43,16,4,3,32,0.016,0.022,0.459,0.589,0.281,0.037,0.019,0.78,0,0,0,0
3087,3088,49,167,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 12,0.0,111,EUL/NGL,RCV,-,301,388,5,1,7,69,22,20,7,138,37,0.016,0.038,0.932,0.301,0.351,0.065,0.896,0.902,0,0,1,0
3088,3089,49,168,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 12,0.0,144,"Renew, EPP",RCV,+,503,156,35,56,166,2,1,14,100,138,26,0.903,0.912,0.027,0.014,0.246,0.926,0.896,0.634,1,0,0,0
3089,3090,49,169,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 12,0.0,144,"Renew, EPP",RCV,+,482,182,30,56,172,1,1,14,100,138,0,0.903,0.945,0.014,0.014,0.246,0.926,0.896,0.0,1,0,0,0
3090,3091,49,170,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 12,0.0,156,EPP,RCV,+,618,68,8,58,176,68,44,28,101,142,1,0.935,0.967,0.919,0.603,0.491,0.935,0.922,0.024,1,0,0,0
3091,3092,49,171,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 12,0.0,156,EPP,RCV,-,322,362,10,57,175,1,47,16,22,3,1,0.919,0.962,0.014,0.644,0.281,0.204,0.019,0.024,0,1,0,0
3092,3093,49,172,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 12,0.0,28,committee,RCV,+,520,159,15,4,141,69,12,29,96,132,37,0.065,0.775,0.932,0.164,0.509,0.889,0.857,0.902,1,0,0,0
3093,3094,49,173,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 12,0.0,28,committee,RCV,+,632,53,9,49,177,69,25,29,102,143,38,0.79,0.973,0.932,0.342,0.509,0.944,0.929,0.927,1,0,0,0
3094,3095,49,174,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After recital 16,0.0,112,EUL/NGL,RCV,-,159,522,13,1,3,68,19,22,5,3,38,0.016,0.016,0.919,0.26,0.386,0.046,0.019,0.927,0,0,0,0
3095,3096,49,175,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After recital 16,0.0,47,committee,RCV,+,630,24,40,54,174,69,23,32,100,141,37,0.871,0.956,0.932,0.315,0.561,0.926,0.916,0.902,1,0,0,0
3096,3097,49,176,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 17,0.0,157,EPP,RCV,+,583,91,20,52,172,69,1,24,102,126,37,0.839,0.945,0.932,0.014,0.421,0.944,0.818,0.902,1,0,0,0
3097,3098,49,177,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 17,0.0,157,EPP,RCV,+,355,305,34,2,23,69,4,14,89,118,36,0.032,0.126,0.932,0.055,0.246,0.824,0.766,0.878,0,0,1,0
3098,3099,49,178,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 17,0.0,157,EPP,RCV,+,524,168,2,11,171,1,46,18,100,140,37,0.177,0.94,0.014,0.63,0.316,0.926,0.909,0.902,1,0,0,0
3099,3100,49,179,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 17,0.0,157,EPP,RCV,+,374,298,22,61,168,1,46,18,37,41,2,0.984,0.923,0.014,0.63,0.316,0.343,0.266,0.049,0,1,0,0
3100,3101,49,180,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 20,0.0,113,EUL/NGL,RCV,-,126,561,7,0,2,68,0,16,2,3,35,0.0,0.011,0.919,0.0,0.281,0.019,0.019,0.854,0,0,0,0
3101,3102,49,181,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 23,0.0,130,EUL/NGL,RCV,-,145,537,12,0,2,65,19,16,2,4,37,0.0,0.011,0.878,0.26,0.281,0.019,0.026,0.902,0,0,0,0
3102,3103,49,182,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 23,0.0,131,EUL/NGL,RCV,-,128,557,9,0,3,69,0,16,2,3,35,0.0,0.016,0.932,0.0,0.281,0.019,0.019,0.854,0,0,0,0
3103,3104,49,183,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 23,0.0,158,EPP,RCV,+,425,251,18,54,173,1,3,13,38,142,1,0.871,0.951,0.014,0.041,0.228,0.352,0.922,0.024,1,0,0,0
3104,3105,49,184,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After rec. 23,0.0,158,EPP,RCV,+,349,318,25,58,167,0,47,17,42,17,1,0.935,0.918,0.0,0.644,0.298,0.389,0.11,0.024,0,1,0,0
3105,3106,49,185,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,vote: Commission proposal,1.0,,0,RCV,+,392,161,142,0,43,69,1,18,84,142,35,0.0,0.236,0.932,0.014,0.316,0.778,0.922,0.854,0,0,1,0
3106,3107,49,186,07.10.2020,European Climate Law,***I,Leg,Draft legislative resolution,s,Guteland,A9-0162/2020,2020/0036/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html,"Committee on the Environment, Public Health and Food Safety",Environment & public health,vote: referral back,1.0,,0,RCV,+,523,151,21,2,154,69,5,31,83,142,37,0.032,0.846,0.932,0.068,0.544,0.769,0.922,0.902,1,0,0,0
3107,3108,48,1,06.10.2020,Equivalence of field inspections carried out in Ukraine on cereal seed-producing crops and on the equivalence of cereal seed produced in Ukraine,***I,Leg,Draft legislative resolution,s,Vrecionová,A9-0164/2020,2020/0053/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0164_EN.html,Committee on Agriculture and Rural Development,Agriculture,Rejection,0.0,1,ID,RCV,-,111,572,11,10,10,4,64,16,1,0,6,0.161,0.055,0.054,0.877,0.281,0.009,0.0,0.146,0,0,0,0
3108,3109,48,2,06.10.2020,Equivalence of field inspections carried out in Ukraine on cereal seed-producing crops and on the equivalence of cereal seed produced in Ukraine,***I,Leg,Draft legislative resolution,s,Vrecionová,A9-0164/2020,2020/0053/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0164_EN.html,Committee on Agriculture and Rural Development,Agriculture,After art 1,0.0,2,ID,RCV,-,113,570,11,12,10,4,63,17,1,0,6,0.194,0.055,0.054,0.863,0.298,0.009,0.0,0.146,0,0,0,0
3109,3110,49,3,07.10.2020,Equivalence of field inspections carried out in Ukraine on cereal seed-producing crops and on the equivalence of cereal seed produced in Ukraine,***I,Leg,Draft legislative resolution,s,Vrecionová,A9-0164/2020,2020/0053/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0164_EN.html,Committee on Agriculture and Rural Development,Agriculture,vote: Commission proposal,1.0,,0,RCV,+,491,159,47,54,164,65,2,19,44,143,0,0.871,0.901,0.878,0.027,0.333,0.407,0.929,0.0,1,0,0,0
3259,3260,51,1,19.10.2020,Amending Regulation (EU) No 168/2013 as regards specific measures on L-category end-of-series vehicles in response to the COVID-19 pandemic,***I,Leg,Draft legislative resolution,s,Grapini,A9-0190/2020,2020/0251/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0190_EN.html,Committee on the Internal Market and Consumer Protection,Internal market & consumer protection,single vote,1.0,,0,RCV,+,677,4,6,63,171,68,63,37,103,140,32,1.016,0.94,0.919,0.863,0.649,0.954,0.909,0.78,1,0,0,0
3386,3387,52,1,20.10.2020,Common agricultural policy - support for strategic plans to be drawn up by Member States and financed by the EAGF and by the EAFRD,***I,Leg,Draft legislative resolution,s,Jahr,A8-0200/2019,2018/0216/COD,https://www.europarl.europa.eu/doceo/document/A-8-2019-0200_EN.html,Committee on Agriculture and Rural Development,Agriculture,Rejection,0.0,1147,Greens/ EFA,RCV,-,166,503,22,7,3,70,8,11,9,20,38,0.113,0.016,0.946,0.11,0.193,0.083,0.13,0.927,0,0,0,0
3387,3388,52,2,20.10.2020,Common agricultural policy - support for strategic plans to be drawn up by Member States and financed by the EAGF and by the EAFRD,***I,Leg,Draft legislative resolution,s,Jahr,A8-0200/2019,2018/0216/COD,https://www.europarl.europa.eu/doceo/document/A-8-2019-0200_EN.html,Committee on Agriculture and Rural Development,Agriculture,Article 12,0.0,1128,"EPP, S&D, Renew",RCV,+,517,152,22,52,168,0,61,27,92,115,2,0.839,0.923,0.0,0.836,0.474,0.852,0.747,0.049,1,0,0,0
3388,3389,52,3,20.10.2020,Common agricultural policy - support for strategic plans to be drawn up by Member States and financed by the EAGF and by the EAFRD,***I,Leg,Draft legislative resolution,s,Jahr,A8-0200/2019,2018/0216/COD,https://www.europarl.europa.eu/doceo/document/A-8-2019-0200_EN.html,Committee on Agriculture and Rural Development,Agriculture,Article 13,0.0,1129,"EPP, S&D, Renew",RCV,+,593,81,18,14,173,71,52,28,100,133,22,0.226,0.951,0.959,0.712,0.491,0.926,0.864,0.537,1,0,0,0
