Vote ID;File;Order of vote;Date;O'clock;Title;Title_Ro;Title_Fr;Title_German;Title_Polski;Procedure;Leg/Non-Leg/Bud;Type of Vote;Voting Rule;Rapporteur;Code;interinstitutional file number;Link;Committee responsabile;De/Policy area;Subject;Subject_ro;Subject_fr;Subject_ger;Subject_pl;"Final vote?";Am No.;Author;RCV;Vote;Yeas;No;Abs
145;9;1;13.11.2014;;Humanitarian situation in South Sudan;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0213/2014;2014/2922/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0213&language=EN;0;Foreign & security policy;Paragraph 12;;;;;0;1;Greens/EFA;RCV;+;374;248;43
146;9;1;13.11.2014;;Turkish actions creating tensions in the exclusive economic zone of Cyprus;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0211/2014;2014/2921/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0211&language=EN;0;Foreign & security policy;Paragraph 6;;;;;0;5D;EFDD;RCV;-;110;525;35
147;10;1;25.11.2014;;The EU and the global development framework after 2015;;;;;;Non;Motion for resolution;s;Stier;A8-0037/2014;2014/2143/INI;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0037&language=EN;Committee on Development;Development;Paragraph 22;;;;;0;;original text;RCV;-;344;348;12
148;10;2;25.11.2014;;The EU and the global development framework after 2015;;;;;;Non;Motion for resolution;s;Stier;A8-0037/2014;2014/2143/INI;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0037&language=EN;Committee on Development;Development;Paragraph 22;;;;;0;;original text;RCV;-;343;349;8
149;10;3;25.11.2014;;The EU and the global development framework after 2015;;;;;;Non;Motion for resolution;s;Stier;A8-0037/2014;2014/2143/INI;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0037&language=EN;Committee on Development;Development;Paragraph 22;;;;;0;;original text;RCV;+;343;342;15
150;10;4;25.11.2014;;The EU and the global development framework after 2015;;;;;;Non;Motion for resolution;s;Stier;A8-0037/2014;2014/2143/INI;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0037&language=EN;Committee on Development;Development;Paragraph 22;;;;;0;;original text;RCV;+;407;270;29
151;10;5;25.11.2014;;The EU and the global development framework after 2015;;;;;;Non;Motion for resolution;s;Stier;A8-0037/2014;2014/2143/INI;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0037&language=EN;Committee on Development;Development;Paragraph 37 ;;;;;0;;original text;RCV;+;479;103;121
152;10;6;25.11.2014;;The EU and the global development framework after 2015;;;;;;Non;Motion for resolution;s;Stier;A8-0037/2014;2014/2143/INI;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0037&language=EN;Committee on Development;Development;Paragraph 68;;;;;0;;original text;RCV;+;626;41;35
153;10;7;25.11.2014;;The EU and the global development framework after 2015;;;;;;Non;Motion for resolution;s;Stier;A8-0037/2014;2014/2143/INI;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0037&language=EN;Committee on Development;Development;Paragraph 68;;;;;0;;original text;RCV;+;369;288;42
154;10;8;25.11.2014;;The EU and the global development framework after 2015;;;;;;Non;Motion for resolution;s;Stier;A8-0037/2014;2014/2143/INI;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0037&language=EN;Committee on Development;Development;vote: resolution;;;;;1;;0;RCV;+;541;96;29
155;10;1;25.11.2014;;Protocol on matters specific to railway rolling stock;;;;;***;Leg;Draft legislative resolution;s;Hautala;A8-0030/2014;2013/0184/NLE;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0030&language=EN;Committee on Legal Affairs;Legal affairs;approbation;;;;;1;;0;RCV;+;557;82;17
156;10;1;25.11.2014;;Hague Convention of 30 June 2005 on choice of Court agreements;;;;;***;Leg;Draft legislative resolution;s;Svoboda;A8-0034/2014;2014/0021/NLE;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0034&language=EN;Committee on Legal Affairs;Legal affairs;approbation;;;;;1;;0;RCV;+;619;52;10
157;10;1;25.11.2014;;Mobilisation of the European Globalisation Adjustment Fund: application EGF/2014/008 FI/STX Rauma;;;;;;Bud;Motion for resolution;q;Sarvamaa;A8-0043/2014;2014/2137/BUD;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0043&language=EN;Committee on Budgets;Budget;single vote;;;;;1;;0;RCV;+;597;77;11
158;10;1;25.11.2014;;Mobilisation of the European Globalisation Adjustment Fund: application EGF/2014/005 FR/GAD;;;;;;Bud;Motion for resolution;q;Jäätteenmäki;A8-0044/2014;2014/2166/BUD;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0044&language=EN;Committee on Budgets;Budget;single vote;;;;;1;;0;RCV;+;593;80;16
159;10;1;25.11.2014;;Employment and social aspects of the EU2020 strategy;;;;;;Non;Motion for resolution;s;0;B8-0252/2014;2014/2779/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0252&language=EN;0;Employment & social affairs;Paragraph 15;;;;;0;;original text;RCV;+;586;77;27
160;10;2;25.11.2014;;Employment and social aspects of the EU2020 strategy;;;;;;Non;Motion for resolution;s;0;B8-0252/2014;2014/2779/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0252&language=EN;0;Employment & social affairs;Paragraph 15;;;;;0;;original text;RCV;+;543;118;31
161;10;3;25.11.2014;;Employment and social aspects of the EU2020 strategy;;;;;;Non;Motion for resolution;s;0;B8-0252/2014;2014/2779/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0252&language=EN;0;Employment & social affairs;Paragraph 15;;;;;0;;original text;RCV;+;536;151;7
162;10;4;25.11.2014;;Employment and social aspects of the EU2020 strategy;;;;;;Non;Motion for resolution;s;0;B8-0252/2014;2014/2779/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0252&language=EN;0;Employment & social affairs;Paragraph 32;;;;;0;;original text;RCV;+;615;10;72
163;10;5;25.11.2014;;Employment and social aspects of the EU2020 strategy;;;;;;Non;Motion for resolution;s;0;B8-0252/2014;2014/2779/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0252&language=EN;0;Employment & social affairs;Paragraph 40;;;;;0;;EFDD;RCV;-;186;345;162
164;10;6;25.11.2014;;Employment and social aspects of the EU2020 strategy;;;;;;Non;Motion for resolution;s;0;B8-0252/2014;2014/2779/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0252&language=EN;0;Employment & social affairs;Paragraph 45;;;;;0;;original text;RCV;+;463;213;25
165;10;7;25.11.2014;;Employment and social aspects of the EU2020 strategy;;;;;;Non;Motion for resolution;s;0;B8-0252/2014;2014/2779/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0252&language=EN;0;Employment & social affairs;Paragraph 46;;;;;0;;original text;RCV;+;535;128;37
166;10;1;25.11.2014;;Opinion of the Court of Justice - EU/Canada agreement on the transfer and processing of Passenger Name Record (PNR) data;;;;;;Non;Motion for resolution;s;0;B8-0265/2014;2014/2966/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0265&language=EN;0;Foreign & security policy;vote: resolution;;;;;1;;0;RCV;+;383;271;47
167;11;1;26.11.2014;;Collection of statistical information by the European Central Bank;;;;;*;Leg;Draft legislative resolution;s;Gualtieri;A8-0027/2014;2014/0808/CNS;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0027&language=EN;Committee on Economic and Monetary Affairs;Economic & monetary affairs;single vote;;;;;1;;0;RCV;+;541;98;49
168;11;1;26.11.2014;;The powers of the European Central Bank to impose sanctions;;;;;*;Leg;Draft legislative resolution;s;Swinburne;A8-0028/2014;2014/0807/CNS;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0028&language=EN;Committee on Economic and Monetary Affairs;Economic & monetary affairs;vote: legislative resolution;;;;;1;;0;RCV;+;361;118;223
169;12;1;27.11.2014;;Delays in the start-up of cohesion policy for 2014-2020;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0278/2014;2014/2946/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0278&language=EN;0;Regional development;vote: resolution;;;;;1;;0;RCV;+;608;31;27
170;12;1;27.11.2014;;Decision to raise no objections to the Commission delegated regulation on the provisional system of instalments on contributions to cover the administrative expenditures of the Single Resolution Board;;;;;;Non;Motion for resolution;s;Elisa Ferreira;B8-0246/2014;2014/2882/DEA;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0246&language=EN;Committee on Economic and Monetary Affairs ;Economic & monetary affairs;vote: resolution;;;;;1;;0;RCV;+;545;72;51
171;12;1;27.11.2014;;Iraq: kidnapping and mistreatment of women;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0295/2014;2014/2971/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0295&language=EN;0;Foreign & security policy;Paragraph 6;;;;;0;;original text;RCV;+;521;133;8
172;12;2;27.11.2014;;Iraq: kidnapping and mistreatment of women;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0295/2014;2014/2971/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0295&language=EN;0;Foreign & security policy;Paragraph 6;;;;;0;;original text;RCV;+;519;107;39
173;12;3;27.11.2014;;Iraq: kidnapping and mistreatment of women;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0295/2014;2014/2971/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0295&language=EN;0;Foreign & security policy;After paragraph 9;;;;;0;6;GUE/NGL;RCV;-;302;347;9
174;12;4;27.11.2014;;Iraq: kidnapping and mistreatment of women;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0295/2014;2014/2971/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0295&language=EN;0;Foreign & security policy;After recital A;;;;;0;3;GUE/NGL;RCV;+;323;321;18
175;12;5;27.11.2014;;Iraq: kidnapping and mistreatment of women;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0295/2014;2014/2971/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0295&language=EN;0;Foreign & security policy;Recital H;;;;;0;;original text;RCV;+;573;73;22
176;12;1;27.11.2014;;Commission's impact assessment guidelines;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0311/2014;2014/2967/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0311&language=EN;0;"Constitutional and inter-institutional affairs";After paragraph 6;;;;;0;10;Greens/EFA;RCV;-;294;363;6
177;12;2;27.11.2014;;Commission's impact assessment guidelines;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0311/2014;2014/2967/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0311&language=EN;0;"Constitutional and inter-institutional affairs";After paragraph 6;;;;;0;11;Greens/EFA;RCV;-;293;331;30
178;12;3;27.11.2014;;Commission's impact assessment guidelines;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0311/2014;2014/2967/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0311&language=EN;0;"Constitutional and inter-institutional affairs";Paragraph 17;;;;;0;15;Greens/EFA;RCV;-;71;396;198
179;12;4;27.11.2014;;Commission's impact assessment guidelines;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0311/2014;2014/2967/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0311&language=EN;0;"Constitutional and inter-institutional affairs";Paragraph 17;;;;;0;;original text;RCV;+;542;106;14
180;12;5;27.11.2014;;Commission's impact assessment guidelines;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0311/2014;2014/2967/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0311&language=EN;0;Industry, research & energy;After paragraph 17;;;;;0;1;ECR;RCV;-;297;329;29
181;12;6;27.11.2014;;Commission's impact assessment guidelines;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0311/2014;2014/2967/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0311&language=EN;0;Industry, research & energy;After paragraph 19;;;;;0;16;Greens/EFA;RCV;-;121;352;192
182;12;7;27.11.2014;;Commission's impact assessment guidelines;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0311/2014;2014/2967/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0311&language=EN;0;Industry, research & energy;Paragraph 20;;;;;0;;original text;RCV;+;507;141;12
183;12;8;27.11.2014;;Commission's impact assessment guidelines;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0311/2014;2014/2967/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0311&language=EN;0;Industry, research & energy;After recital G;;;;;0;8;Greens/EFA;RCV;-;309;342;8
184;12;9;27.11.2014;;Commission's impact assessment guidelines;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0311/2014;2014/2967/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0311&language=EN;0;Industry, research & energy;vote: resolution;;;;;1;;0;RCV;+;548;83;32
185;12;1;27.11.2014;;25th anniversary of the UN Convention on the Rights of the Child;;;;;;Non;Motion for resolution;s;0;B8-0285/2014;2014/2919/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0285&language=EN;0;Civil liberties, justice & home affairs;After paragraph 1;;;;;0;2;GUE/NGL;RCV;-;183;443;34
186;12;2;27.11.2014;;25th anniversary of the UN Convention on the Rights of the Child;;;;;;Non;Motion for resolution;s;0;B8-0285/2014;2014/2919/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0285&language=EN;0;Civil liberties, justice & home affairs;After paragraph 1;;;;;0;3;GUE/NGL;RCV;-;179;448;32
187;12;3;27.11.2014;;25th anniversary of the UN Convention on the Rights of the Child;;;;;;Non;Motion for resolution;s;0;B8-0285/2014;2014/2919/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0285&language=EN;0;Civil liberties, justice & home affairs;Paragraph 10;;;;;0;;original text;RCV;+;555;75;33
188;12;4;27.11.2014;;25th anniversary of the UN Convention on the Rights of the Child;;;;;;Non;Motion for resolution;s;0;B8-0285/2014;2014/2919/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0285&language=EN;0;Civil liberties, justice & home affairs;Paragraph 18;;;;;0;10;GUE/NGL;RCV;+;382;251;31
189;12;5;27.11.2014;;25th anniversary of the UN Convention on the Rights of the Child;;;;;;Non;Motion for resolution;s;0;B8-0285/2014;2014/2919/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0285&language=EN;0;Civil liberties, justice & home affairs;After paragraph 18;;;;;0;5;GUE/NGL;RCV;+;382;232;48
190;12;6;27.11.2014;;25th anniversary of the UN Convention on the Rights of the Child;;;;;;Non;Motion for resolution;s;0;B8-0285/2014;2014/2919/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0285&language=EN;0;Civil liberties, justice & home affairs;After paragraph 18;;;;;0;11;GUE/NGL;RCV;-;199;322;134
191;12;7;27.11.2014;;25th anniversary of the UN Convention on the Rights of the Child;;;;;;Non;Motion for resolution;s;0;B8-0285/2014;2014/2919/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0285&language=EN;0;Civil liberties, justice & home affairs;Paragraph 21;;;;;0;;original text;RCV;+;540;93;29
192;12;8;27.11.2014;;25th anniversary of the UN Convention on the Rights of the Child;;;;;;Non;Motion for resolution;s;0;B8-0285/2014;2014/2919/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0285&language=EN;0;Civil liberties, justice & home affairs;Paragraph 22;;;;;0;;original text;RCV;+;563;59;32
193;12;9;27.11.2014;;25th anniversary of the UN Convention on the Rights of the Child;;;;;;Non;Motion for resolution;s;0;B8-0285/2014;2014/2919/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0285&language=EN;0;Civil liberties, justice & home affairs;Recital F;;;;;0;;original text;RCV;+;538;92;33
194;12;10;27.11.2014;;25th anniversary of the UN Convention on the Rights of the Child;;;;;;Non;Motion for resolution;s;0;B8-0285/2014;2014/2919/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0285&language=EN;0;Civil liberties, justice & home affairs;After recital H;;;;;0;7;GUE/NGL;RCV;+;327;316;19
195;12;1;27.11.2014;;Motion of censure on the Commission;;;;;;Non;Motion for resolution;q;0;B8-0249/2014;2014/0000/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0249&language=EN;0;"Constitutional and inter-institutional affairs";vote: resolution;;;;;1;;0;RCV;-;101;461;88
196;12;1;27.11.2014;;Child malnutrition in developing countries;;;;;;Non;Motion for resolution;s;0;B8-0253/2014;2014/2853/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0253&language=EN;0;Development;After paragraph 17;;;;;0;3;Greens/EFA;RCV;-;235;314;45
197;12;2;27.11.2014;;Child malnutrition in developing countries;;;;;;Non;Motion for resolution;s;0;B8-0253/2014;2014/2853/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0253&language=EN;0;Development;After paragraph 17;;;;;0;4;Greens/EFA;RCV;-;279;294;26
198;12;3;27.11.2014;;Child malnutrition in developing countries;;;;;;Non;Motion for resolution;s;0;B8-0253/2014;2014/2853/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0253&language=EN;0;Development;vote: resolution;;;;;1;;0;RCV;+;500;7;42
199;12;1;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2014;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;After paragraph 2;;;;;0;8;ECR;RCV;+;351;243;69
200;12;2;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2015;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;After paragraph 3;;;;;0;10;ECR;RCV;+;354;219;86
201;12;3;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2016;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;Paragraph 4;;;;;0;12;ECR;RCV;-;137;516;3
202;12;4;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2017;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;Paragraph 8;;;;;0;85;S&D;RCV;-;291;326;44
203;12;5;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2018;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;After paragraph 8;;;;;0;59;ALDE;RCV;-;89;558;14
204;12;6;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2019;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;After paragraph 8;;;;;0;60;ALDE;RCV;-;147;433;68
205;12;7;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2020;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;After paragraph 8;;;;;0;61;ALDE;RCV;-;145;444;69
206;12;8;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2021;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;After paragraph 8;;;;;0;62;ALDE;RCV;+;494;95;63
207;12;9;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2022;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;After paragraph 8;;;;;0;65;ALDE;RCV;-;237;401;19
208;12;10;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2023;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;Paragraph 9 ;;;;;0;17;ECR;RCV;-;76;530;50
209;12;11;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2024;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;After paragraph 9;;;;;0;81;ALDE;RCV;-;230;243;178
210;12;12;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2025;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;After paragraph 9;;;;;0;82;ALDE;RCV;-;224;269;159
211;12;13;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2026;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;Paragraph 10;;;;;0;;original text;RCV;+;458;173;23
212;12;14;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2027;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;Paragraph 11;;;;;0;16;ECR;RCV;+;252;186;217
213;12;15;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2028;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;Paragraph 13;;;;;0;84;ALDE;RCV;-;271;347;33
214;12;16;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2029;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;After paragraph 15;;;;;0;19;ECR;RCV;+;607;6;30
215;12;17;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2030;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;After paragraph 16;;;;;0;32;Greens/EFA;RCV;-;84;404;157
216;12;18;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2031;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;After paragraph 18;;;;;0;22;ECR;RCV;+;446;177;14
217;12;19;27.11.2014;;Digital single market;;;;;;Non;Joint motion for resolution;s;0;RC-B8-0286/2032;2014/2973/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN;0;Internal market & consumer protection;vote: resolution;;;;;1;;0;RCV;+;384;174;56
218;13;1;16.12.2014;;Scientific examination of questions relating to food;;;;;***I;Leg;Draft legislative resolution;s;La Via;A8-0059/2014;2014/0132/COD;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0059&language=EN;Committee on the Environment, Public Health and Food Safety;Environment & public health;single vote;;;;;1;;0;RCV;+;640;53;6
219;13;1;16.12.2014;;Convention on International Trade in Endangered Species (CITES);;;;;***;Leg;Draft legislative resolution;s;Ayuso;A8-0036/2014;2013/0418/NLE;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0036&language=EN;Committee on the Environment, Public Health and Food Safety;Environment & public health;approbation;;;;;1;;0;RCV;+;641;60;1
220;13;1;16.12.2014;;Cooperation agreement on a civil Global Navigation Satellite System (GNSS) with Morocco;;;;;***;Leg;Draft legislative resolution;s;Buzek;A8-0045/2014;2013/0414/NLE;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0045&language=EN;Committee on Industry, Research and Energy;Industry, research & energy;approbation;;;;;1;;0;RCV;+;615;79;10
221;13;1;16.12.2014;;Renewal of the Agreement on cooperation in science and technology with Ukraine;;;;;***;Leg;Draft legislative resolution;s;Buzek;A8-0039/2014;2014/0154/NLE;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0039&language=EN;Committee on Industry, Research and Energy;Industry, research & energy;approbation;;;;;1;;0;RCV;+;579;112;12
222;13;1;16.12.2014;;Participation of Croatia in the European Economic Area;;;;;***;Leg;Draft legislative resolution;s;Lambsdorff;A8-0026/2014;2014/0047/NLE;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0026&language=EN;Committee on International Trade;International trade;approbation;;;;;1;;0;RCV;+;622;31;51
223;13;1;16.12.2014;;Dock dues in the French outermost regions;;;;;*;Leg;Draft legislative resolution;s;Mihaylova;A8-0054/2014;2014/0308/CNS;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0054&language=EN;Committee on Regional Development;Regional development;single vote;;;;;1;;0;RCV;+;594;99;10
224;13;1;16.12.2014;;Mobilisation of the European Globalisation Adjustment Fund: application EGF/2014/010 IT/Whirlpool;;;;;;Bud;Motion for resolution;q;Viotti;A8-0064/2014;2014/2170/BUD;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0064&language=EN;Committee on Budgets;Budget;single vote;;;;;1;;0;RCV;+;604;82;15
225;13;1;16.12.2014;;Mobilisation of the European Globalisation Adjustment Fund: application EGF/2013/006 PL/Fiat Auto Poland S.A.;;;;;;Bud;Motion for resolution;q;Olbrycht;A8-0062/2014;2014/2181/BUD;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0062&language=EN;Committee on Budgets;Budget;single vote;;;;;1;;0;RCV;+;603;81;17
226;13;1;16.12.2014;;Mobilisation of the European Globalisation Adjustment Fund: application EGF/2014/013 EL/Odyssefs Fokas;;;;;;Bud;Motion for resolution;q;Vana;A8-0063/2014;2014/2183/BUD;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0063&language=EN;Committee on Budgets;Budget;single vote;;;;;1;;0;RCV;+;610;77;13
